date,open,high,low,close,volume
2020-01-01,196.4539832860992,188.77778115557675,147.91851128151106,199.71432211737704,3844.2969425410997
2020-01-02,171.8057774796734,123.24291581802673,195.90938583367824,131.50368498528002,1410.1506674067132
2020-01-03,190.79125116881772,126.26142621989081,187.60350885525736,114.45668582559341,2414.9360203279084
2020-01-04,179.33359519609382,184.5970492876085,195.29904943484956,146.39907593812197,2461.3200920746826
2020-01-05,185.6261050468156,101.61537850637876,109.8958091949289,140.39806432680473,2849.779330400182
2020-01-06,134.3062273401269,176.49741905780198,156.69546593606313,179.3984609885233,1494.9487344244176
2020-01-07,196.82665010363968,174.71525085835643,153.77103607081455,111.08456340148165,1617.3364663048683
2020-01-08,148.6507146286719,141.36124631131514,194.19585642492228,105.36609952115924,3714.11757715953
2020-01-09,105.99301930395868,112.28534854109664,122.01460130504859,154.99676734201495,4648.580625773528
2020-01-10,134.64350425566963,178.14678462857316,198.5067523192802,109.65705332915557,1267.3501954148612
2020-01-11,168.4710822618657,161.49735679330902,173.94923133336982,134.1989796236212,4209.4647269981015
2020-01-12,127.15532863104292,172.5644305138215,121.72155080407259,120.9286719108538,2485.6502264721094
2020-01-13,116.08260905246067,114.3154023247128,112.40699127536448,135.06899842398744,1936.2371231060717
2020-01-14,101.70576053589222,116.5087578076788,153.7908568358885,105.73012782617012,4346.748409297043
2020-01-15,181.5190364659765,192.1410546671729,116.35567912081464,122.22200225634803,2379.517596839216
2020-01-16,172.19381779027043,136.11219447427226,180.05305527176927,165.16109426715104,2299.604878631796
2020-01-17,144.7300558284143,148.5589013816259,130.0883117744055,166.28884062829317,4765.050754797114
2020-01-18,181.84803027705124,146.1747830720034,161.36696318388022,169.5048858643957,4845.110106958258
2020-01-19,117.83958353579081,127.55625383939895,164.18389574998992,125.10684848990073,2438.7610559451045
2020-01-20,141.2299595605931,147.6380165567308,152.98176033635326,185.94766693015885,1249.43019096976
2020-01-21,169.762374141419,106.4728407576754,143.5231666554775,111.348608403112,4099.768623424934
